,ID,Line,Condition,Path,Cyt,Mem_tot,Mem_ant,Mem_post,Dosage_af,Dosage_sub,Genotype
46,46,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/10",1566.192802241168,1827.6987768647136,1957.2452151969385,1651.722835822422,1832.8160356570259,2337.40013249202,"L109R, par-3 -/-"
47,47,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/11",1509.8724032807215,1479.0546870131334,1176.5635772921366,1804.7971497461124,1696.351344168322,2002.451705364785,"L109R, par-3 -/-"
48,48,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/12",1906.9235088310174,2482.2374879704666,1646.8947591747526,3449.248492741158,2291.8626018141363,2698.6147245734974,"L109R, par-3 -/-"
49,49,nwg369,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/00",4266.473723024339,7483.059300655394,7483.610479885937,7440.311191469036,5751.103112256297,7462.593208812836,"L109R, par-3 -/-"
50,50,nwg369,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/01",3889.022588770452,7633.592024987161,7017.89046230123,7315.955407152207,5500.054751914885,7315.6610699728535,"L109R, par-3 -/-"
51,51,nwg369,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/02",3906.0500160353286,7293.87497126363,6657.5889419288915,7492.194768109356,5299.721903001084,6611.227273680217,"L109R, par-3 -/-"
52,52,nwg369,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_wt_tom4,15,60/03",4244.72083630732,7999.825684822837,6808.121148084478,9009.477975596934,5875.533585425142,7759.971972774141,"L109R, par-3 -/-"
53,53,od58,11161000xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/00",885.8965864715973,1423.487950076688,1477.1550158183531,1235.0875544165538,1137.8342779953352,1586.014964739833,PH
54,54,od58,11161000xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/01",786.0202496841036,1626.7135735317427,1919.7903148687026,1491.5062406082423,1112.41624009478,1212.6223511230737,PH
55,55,od58,11161000xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/02",822.3231742298386,1626.214748510216,1986.058881557657,1568.0489117991315,1142.263468437105,1532.8729701494058,PH
56,56,od58,11161000xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/03",618.6475306514916,1221.6659903181862,1515.4743203913738,1321.4822980860777,860.7376686299236,493.1954628072517,PH
57,57,od58,11161000xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161000xfp_tom4,15,60/04",666.9771985835082,1347.1052912286466,1687.9291236751455,1199.1398466888318,927.0223574753857,629.9634854115457,PH
58,58,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/00",1013.4545475602562,2472.583007896734,2800.579866227998,2175.424472516266,1543.9377265138735,1403.089873446388,PH
59,59,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/01",848.7806101537681,1966.0073385950468,2193.4431420927226,1893.6651213166765,1262.7554291797508,1185.3945028373182,PH
60,60,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/02",849.5942691019434,1782.239719878185,1492.4202154901886,1863.1113724852053,1219.2775081850587,1451.89454851751,PH
61,61,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/05",2571.084493998472,6628.099742798134,7919.9160908614385,5552.210122255048,4045.603615532332,5466.477494216075,PH
62,62,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/06",1242.2147815560422,2620.523709356169,3051.1089188079895,2396.380520398967,1777.4766144288337,1773.8273701987246,PH
63,63,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/07",995.8323928993807,2368.5531035205377,2872.6975984583755,2475.0619194182095,1490.864299287499,2019.4463131239127,PH
64,64,od58,11161900xfp,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_od58_11161900xfp_tom4,15,60/08",1312.1445947024158,3018.6220873304965,3241.6397670854763,2671.609244261175,1957.5005134509042,2500.1777164387267,PH
65,65,nwg325,11171800par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11171800par2_tom4,15,60/00",1269.3896144179569,683.7627129076659,451.74913944388703,1199.8568934743275,1263.7301664321308,1411.4333453313548,Wild type
66,66,nwg325,11171800par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11171800par2_tom4,15,60/01",552.1558078590248,299.63346748011276,182.51996438274574,550.9334074326432,554.0018237695966,-286.7499110239073,Wild type
67,67,nwg325,11171800par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11171800par2_tom4,15,60/02",707.2637998537148,407.61688093450897,285.0983665959938,642.2894335809384,717.074276480678,816.1184120322514,Wild type
68,68,nwg325,11171800par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11171800par2_tom4,15,60/03",1070.5777249377982,702.9946075007118,263.6673825444429,1982.9847696224122,1088.2519337971225,1259.6062092469547,Wild type
69,69,nwg325,11171800par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11171800par2_tom4,15,60/04",624.226740844336,361.7874881722941,319.89865875583934,741.2128818133546,614.4825497430794,398.22208131830394,Wild type
