,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
101,101,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg325_tom4,15,60/02/",2928.731198718648,21680.79575516808,4872.034169498805,5509.138769606707,Wild type
102,102,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg325_tom4,15,60/03/",2523.1321206738726,19413.09429104873,4326.293256874634,4735.679267166304,Wild type
103,103,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg325_tom4,15,60/04/",2921.820220904556,14870.056965792488,3779.5299582642815,3824.408724030598,Wild type
104,104,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg325_tom4,15,60/00/",3399.29460534041,18494.284797845467,4768.042838569513,5972.49407135287,Wild type
105,105,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg325_tom4,15,60/01/",2759.527598486058,26366.434512362284,5290.54612453106,6518.913603535306,Wild type
106,106,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg325_tom4,15,60/02/",3223.349034673624,22441.12609873415,5040.693196489382,6123.98446338179,Wild type
107,107,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg338_tom4,15,60/00/",5939.033590314954,11202.732466171517,6387.822097051834,8270.562159191513,L109R
108,108,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg338_tom4,15,60/01/",5799.108830958012,12498.29941065747,6310.340026984633,7925.553672604117,L109R
109,109,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg338_tom4,15,60/02/",5296.907498468062,11519.649004168952,5917.132881462581,7453.504277242662,L109R
110,110,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg338_tom4,15,60/03/",6213.967124172994,11076.851622684106,6571.664093792887,8166.275206736511,L109R
111,111,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg338_tom4,15,60/04/",5372.794001906954,8934.593078057344,5873.060858352905,7140.082831220929,L109R
112,112,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg338_tom4,15,60/00/",6144.261216680332,9884.41318199307,6013.130393580092,7721.708612502916,L109R
113,113,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg338_tom4,15,60/01/",4999.612741910111,9572.973075968508,5411.068380401406,6915.9138352232585,L109R
114,114,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg338_tom4,15,60/02/",5436.646740995274,10631.219227506233,5693.633992585998,7314.393926278437,L109R
115,115,nwg338,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211112_nwg338_tom4,15,60/03/",5589.498151873767,10060.809366399892,6011.424227342692,7310.413782575188,L109R
