Frame,Path,Line,Genotype,Membrane,Cytoplasm,Ratio,Dosage,Total
0,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240_tom4,15,60/00",nwg240,C56S,20746.734510841885,5615.661706572151,3.694441651740071,5490.821808586967,7225.001269443177
1,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240_tom4,15,60/01",nwg240,C56S,26948.965273499507,5931.651038669981,4.5432485993886305,5862.689281871888,7888.027942284191
2,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240_tom4,15,60/02",nwg240,C56S,20389.94618446074,5970.678005369312,3.415013532152373,5874.165147170056,7582.530772140257
3,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240_tom4,15,60/03",nwg240,C56S,20261.895640901148,5541.254179285788,3.6565540914264107,5356.235246575928,7030.004338853117
4,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240_tom4,15,60/04",nwg240,C56S,19063.90722716394,5887.019470069223,3.2382952568933456,5839.479738853788,7504.657204993192
5,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240bal_tom4,15,60/00",nwg240bal,C56S bal,8106.940398394627,1522.988253256715,5.323048540301591,1552.2648287745226,2181.7920520578673
6,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240bal_tom4,15,60/01",nwg240bal,C56S bal,6511.561983605751,1450.9240498976699,4.487872390057216,1508.0404041271627,1983.183465095875
7,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240bal_tom4,15,60/02",nwg240bal,C56S bal,8979.17592662258,1800.393936794654,4.987339572254242,1733.3981715924187,2473.1091091879443
8,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240bal_tom4,15,60/03",nwg240bal,C56S bal,6602.840430628077,1586.3290057937688,4.162339846597044,1490.2282815818362,2161.077486336455
9,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg240bal_tom4,15,60/04",nwg240bal,C56S bal,6198.988923915209,1528.3320641960836,4.056048465603536,1477.9178519996435,2027.357592234821
10,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325_tom4,15,60/00",nwg325,Wild type,61135.548203190454,2952.513703202655,20.70627077424752,4818.279300740247,7315.749359389726
11,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325_tom4,15,60/01",nwg325,Wild type,66516.20628185997,3309.8012714511638,20.096737183467305,5300.388147341752,8298.213999001353
12,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325_tom4,15,60/02",nwg325,Wild type,62834.697079813595,2864.8981952278095,21.93261079380768,4816.523217613519,7578.024739446299
13,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325_tom4,15,60/03",nwg325,Wild type,55352.16838158297,2582.7927766840057,21.431130240595017,4214.932953066311,6597.775972495687
14,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325_tom4,15,60/04",nwg325,Wild type,43633.10168239846,2887.5222804320156,15.110914287341988,3770.712572243016,6213.414669537096
15,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325bal_tom4,15,60/00",nwg325bal,Wild type bal,12029.994365712026,678.4486072902106,17.73162216923252,975.7885853893764,1523.5128595157248
16,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325bal_tom4,15,60/01",nwg325bal,Wild type bal,14483.348739542756,670.0653485263063,21.614830212301527,1134.6235919309574,1800.2016084647662
17,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325bal_tom4,15,60/02",nwg325bal,Wild type bal,11214.899907318775,748.604388654616,14.981076890925095,993.2252005382521,1642.9627480430063
18,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325bal_tom4,15,60/03",nwg325bal,Wild type bal,19735.402874749212,874.2547806024281,22.573971927439754,1504.8506368099584,2353.5482576268423
19,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg325bal_tom4,15,60/04",nwg325bal,Wild type bal,20962.374513370938,1283.455841520555,16.332758662375234,1864.5091156410665,3014.8399193086666
20,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338_tom4,15,60/00",nwg338,L109R,34595.15945649444,5762.799288843113,6.003186597782664,6194.846943548122,8340.245607377172
21,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338_tom4,15,60/01",nwg338,L109R,38135.84720726961,5654.267059083802,6.744613724249701,6228.411126775558,8320.586052279044
22,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338_tom4,15,60/02",nwg338,L109R,35111.133429301495,5140.816933985172,6.829874294333853,5825.236923372686,7715.688613285302
23,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338_tom4,15,60/03",nwg338,L109R,34438.93704617559,6052.5274955498435,5.690009185666157,6389.07763592319,8648.159192335697
24,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338_tom4,15,60/04",nwg338,L109R,27944.41466820407,5225.440876332437,5.347762098844629,5668.106180487619,7221.78455072738
25,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338bal_tom4,15,60/00",nwg338bal,L109R bal,11545.583321342998,1645.8688008752931,7.0148867972969144,1768.2028095857083,2562.4897867447125
26,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338bal_tom4,15,60/01",nwg338bal,L109R bal,8593.50650546871,1465.8218015758532,5.862586090771835,1563.704524982855,2137.2846294556216
27,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338bal_tom4,15,60/02",nwg338bal,L109R bal,8782.060398615618,1267.8279851726722,6.926854826776475,1445.7486392775525,1950.282781210899
28,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338bal_tom4,15,60/03",nwg338bal,L109R bal,11315.916493339057,1892.4502473870411,5.979505410492697,1949.1045431410448,2749.0446570738623
29,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg338bal_tom4,15,60/04",nwg338bal,L109R bal,10782.647793191198,1438.0889103265556,7.497900662305168,1668.9243501374717,2268.8800562239476
30,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg351_tom4,15,60/00",nwg351,L50R + L109R,29794.734829312278,4789.48295613423,6.2208666576737786,5289.92460926676,6961.44875863161
31,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg351_tom4,15,60/01",nwg351,L50R + L109R,27740.30603907308,4727.246244189351,5.868174536744512,4916.661064408032,6770.168309254138
32,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg351_tom4,15,60/02",nwg351,L50R + L109R,28185.955061305536,5483.591029589808,5.140054192446577,5700.111820880446,7526.711251947444
33,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg351_tom4,15,60/03",nwg351,L50R + L109R,31365.889730573166,4875.546313264087,6.433307718817318,5355.508379921332,7151.324629122374
34,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg351_tom4,15,60/04",nwg351,L50R + L109R,25585.72047815943,4919.067893543262,5.201335096785936,5514.278402087601,6938.053016625312
35,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400_tom4,15,60/00",nwg400,L50R,42111.178403079655,4552.338170809172,9.25045038901283,5291.06184334659,7537.335511011155
36,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400_tom4,15,60/01",nwg400,L50R,40395.219144829374,4093.420220445141,9.868329409003744,4779.827016037651,7044.622721022341
37,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400_tom4,15,60/02",nwg400,L50R,50196.36945440034,4888.740861356407,10.2677500972046,6010.802238197497,8552.42227499853
38,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400_tom4,15,60/03",nwg400,L50R,46050.842233557036,3826.1647359989997,12.035770911869351,5166.980813359387,7056.913691734307
39,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400_tom4,15,60/04",nwg400,L50R,46851.543544311964,3962.591209092395,11.82346123334862,5110.860349072122,7206.782504875238
40,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400bal_tom4,15,60/00",nwg400bal,L50R bal,10568.678314933411,1272.7103544097397,8.304071918889177,1393.55419615245,2120.8785127152987
41,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400bal_tom4,15,60/01",nwg400bal,L50R bal,12161.360785610928,1216.2882145571177,9.998749178079636,1353.253120959683,2090.737635424556
42,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400bal_tom4,15,60/02",nwg400bal,L50R bal,13731.674117005707,1308.4128203035216,10.49490948416439,1612.7541617489414,2378.1749365753903
43,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg400bal_tom4,15,60/03",nwg400bal,L50R bal,13851.025340083675,1482.9749530301726,9.340026486476917,1593.0465981814298,2447.831169017875
44,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg407_tom4,15,60/00",nwg407,C56S + L109R,21388.15885716314,4975.070641469676,4.299066364783296,5117.478434999058,6568.6216217186375
45,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg407_tom4,15,60/01",nwg407,C56S + L109R,18856.881041809935,4980.092854116626,3.786451697626989,5242.614761238039,6373.2248891549425
46,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg407_tom4,15,60/02",nwg407,C56S + L109R,17839.987797274192,4818.285738093578,3.7025591189477343,5137.569204574249,6180.1647596551675
47,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg407_tom4,15,60/03",nwg407,C56S + L109R,22157.510348864438,5546.62468674337,3.9947736867471266,5682.686861797151,7182.730574838106
48,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211106_nwg407_tom4,15,60/04",nwg407,C56S + L109R,20855.16092246803,5067.2067271868855,4.115711484707078,5319.370696436711,6592.024828715523
49,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg240_tom4,15,60/00",nwg240,C56S,24109.35487034893,6110.551535240764,3.945528440649832,5883.370914302913,7868.2285227513985
50,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg240_tom4,15,60/01",nwg240,C56S,20011.207302953007,5304.461132035123,3.772524070748626,5173.479706927919,6965.3659283187735
51,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg240_tom4,15,60/02",nwg240,C56S,18785.966351225397,5275.9269982750375,3.5606948991840603,5385.878349914291,6741.931628952944
52,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg240bal_tom4,15,60/00",nwg240bal,C56S bal,7999.826659240832,1808.25961530784,4.4240476265234365,1859.4922545200927,2483.4983727494596
53,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg240bal_tom4,15,60/01",nwg240bal,C56S bal,5724.674166727141,1240.4687932756226,4.614927999607615,1237.5311118238185,1700.1869656334995
